state,date,crop_type,planted_area,production
Selangor,2017-01-01,coconut,8816.5,103435.4
Selangor,2018-01-01,coconut,9860.2,95641.5
Selangor,2019-01-01,coconut,15075.7,99760.7
Selangor,2020-01-01,coconut,10239.1,105129.1
Selangor,2021-01-01,coconut,9119.7,107558.9
Selangor,2022-01-01,coconut,9526.4,110783.8
Selangor,2017-01-01,flower,289.5,65598764.0
Selangor,2018-01-01,flower,294.7,66779541.0
Selangor,2019-01-01,flower,300.3,68048353.0
Selangor,2020-01-01,flower,291.9,51852845.0
Selangor,2021-01-01,flower,267.3,46579410.0
Selangor,2022-01-01,flower,270.5,47324681.0
Selangor,2017-01-01,fruits,2055.1,19392.2
Selangor,2018-01-01,fruits,2019.0,33180.1
Selangor,2019-01-01,fruits,2038.2,29414.3
Selangor,2020-01-01,fruits,2096.1,33288.1
Selangor,2021-01-01,fruits,5288.1,35605.4
Selangor,2022-01-01,fruits,1971.6,41376.1
Selangor,2017-01-01,herbs,85.8,1206.6
Selangor,2018-01-01,herbs,91.2,668.8
Selangor,2019-01-01,herbs,91.9,710.6
Selangor,2020-01-01,herbs,88.3,496.7
Selangor,2021-01-01,herbs,82.7,513.2
Selangor,2022-01-01,herbs,82.8,758.2
Selangor,2017-01-01,industrial_crops,9101.4,105262.3
Selangor,2018-01-01,industrial_crops,10144.9,96713.3
Selangor,2019-01-01,industrial_crops,15351.1,103500.1
Selangor,2020-01-01,industrial_crops,10522.2,108042.6
Selangor,2021-01-01,industrial_crops,9398.3,111953.0
Selangor,2022-01-01,industrial_crops,9596.9,114565.9
Selangor,2017-01-01,paddy,36708.0,165571.0
Selangor,2018-01-01,paddy,36868.0,174432.0
Selangor,2019-01-01,paddy,36602.0,174088.0
Selangor,2020-01-01,paddy,36004.0,159535.0
Selangor,2021-01-01,paddy,35885.0,155631.0
Selangor,2022-01-01,paddy,35539.0,153492.0
Selangor,2017-01-01,spices,476.2,5875.8
Selangor,2018-01-01,spices,394.9,4984.1
Selangor,2019-01-01,spices,401.4,4712.3
Selangor,2020-01-01,spices,259.7,2742.3
Selangor,2021-01-01,spices,280.4,3672.6
Selangor,2022-01-01,spices,231.8,2871.7
Selangor,2017-01-01,vegetables,2626.1,36690.1
Selangor,2018-01-01,vegetables,2323.9,32258.5
Selangor,2019-01-01,vegetables,2683.4,38795.7
Selangor,2020-01-01,vegetables,2337.7,31659.7
Selangor,2021-01-01,vegetables,2520.6,34051.3
Selangor,2022-01-01,vegetables,2365.4,32896.7

